id,topic,speaker,twitter,tag,monkvideo,video,slides,description
adrianco,Fast Delivery,Adrian Cockcroft,adrianco,,https://redmonk.com/videos/monktoberfest-2014-adrian-cockcroft-fast-delivery/,https://www.youtube.com/watch?v=icvtIK83I_g&index=1&list=PLvsKqlNNP3R8HHU4HyOFoeioCtykKQQfC,,
jennytong,How IoT Will change the way we play,Jenny Tong,,,https://redmonk.com/videos/monktoberfest-2014-jenny-tong-how-the-internet-of-things-will-change-the-way-we-play/,https://www.youtube.com/watch?v=ef8hV7rTar0&index=2&list=PLvsKqlNNP3R8HHU4HyOFoeioCtykKQQfC,,
mik3y,Kegbot,Mike Wakerly,mik3y,,https://redmonk.com/videos/monktoberfest-2014-mike-wakerly-kegbot/,https://www.youtube.com/watch?v=sHk0hFyxFDA&index=3&list=PLvsKqlNNP3R8HHU4HyOFoeioCtykKQQfC,,
cliffmoon,Life In The Data Mines,Cliff Moon,,,https://redmonk.com/videos/monktoberfest-2014-cliff-moon-life-in-the-data-mines/,https://www.youtube.com/watch?v=R-IV5f6F4MI&index=4&list=PLvsKqlNNP3R8HHU4HyOFoeioCtykKQQfC,,
girltuesday,"Let's Talk About Sexual Harassment, Baby",Kate Lynch O'Grady,girltuesday,,https://redmonk.com/videos/monktoberfest-2014-kate-lynch-ogrady-lets-talk-about-sexual-harassment-baby/,https://www.youtube.com/watch?v=xRjKBMxlN2M&list=PLvsKqlNNP3R8HHU4HyOFoeioCtykKQQfC&index=5,,
aneel,Psychological Demands Of Technology,Aneel Lakhani,aneel,,https://redmonk.com/videos/monktoberfest-2014-aneel-lakhani-psychological-demands-of-technology/,https://www.youtube.com/watch?v=963w5rMZP7E&index=7&list=PLvsKqlNNP3R8HHU4HyOFoeioCtykKQQfC,,
LisaSeacat,Go Fund Yourself A Kickstarter,Lisa Seacat DeLuca,LisaSeacat,,https://redmonk.com/videos/monktoberfest-2014-lisa-seacat-deluca-go-fund-yourself-a-kickstarter-how-to/,https://www.youtube.com/watch?v=_fqdUgCV-dY&list=PLvsKqlNNP3R8HHU4HyOFoeioCtykKQQfC&index=8,,
