id,topic,speaker,twitter,tag,monkvideo,video,slides,description
ZUrlocker,Social and Distributed Development,Zack Urlocker,ZUrlocker,,,,,
mattlemay,Kitteh vs. Chikin: What Data Can Tell Us About Who We Are and Who We Want to Be,Matt LeMay,,,,,https://www.slideshare.net/mattlemay/kitteh-vs-chikin-what-data-can-tell-us-about-who-we-are-and-who-we-want-to-be-monktoberfest-2011,
gregavola,Untappd Intersection of Data,Greg Avola,gregavola,,,,,
postwait,Social Improvements In Monitoring,Theo Schlossnagle,postwait,,,,,
dberkholz,Assholes are killing your project,Donnie Berkholz,dberkholz,,,,https://www.slideshare.net/dberkholz/assholes-are-killing-your-project-mdc-2017,
stevesp,Spatial Data And Privacy,Steve Citron-Pousty,,,,,,
